spot_name,index spot,weather,temperature,traffic_time,satisfaction
Préfontaine,4,2,17.8,16.3,1
Boucherville,5,2,17.8,16.3,1
Taz,6,2,17.8,16.3,0
Spin,7,2,17.8,16.3,0
Saint Jérome,8,2,17.8,16.3,1
Saint Sauveur,9,2,17.8,16.3,0
Assomption,10,2,17.8,16.3,1
Benny,11,2,17.8,16.3,1
Dorval,12,2,17.8,16.3,1
Magog,13,2,17.8,16.3,0
Berthierville,14,2,17.8,16.3,0
Ahuntsic,0,0,27.8,29.5,0
VanHorne,1,0,27.8,29.5,0
Verdun,2,0,27.8,29.5,0
Lasalle,3,0,27.8,29.5,0
Préfontaine,4,0,27.8,29.5,0
Boucherville,5,0,27.8,29.5,0
Taz,6,0,27.8,29.5,1
Spin,7,0,27.8,29.5,1
Saint Jérome,8,0,27.8,29.5,0
Saint Sauveur,9,0,27.8,29.5,0
Assomption,10,0,27.8,29.5,0
Benny,11,0,27.8,29.5,0
Dorval,12,0,27.8,29.5,0
Magog,13,0,27.8,29.5,0
Berthierville,14,0,27.8,29.5,0
Ahuntsic,0,3,23.7,46.0,0
VanHorne,1,3,23.7,46.0,0
Verdun,2,3,23.7,46.0,0
Lasalle,3,3,23.7,46.0,0
Préfontaine,4,3,23.7,46.0,0
Boucherville,5,3,23.7,46.0,0
Taz,6,3,23.7,46.0,0
Spin,7,3,23.7,46.0,0
Saint Jérome,8,3,23.7,46.0,1
Saint Sauveur,9,3,23.7,46.0,1
Assomption,10,3,23.7,46.0,1
Benny,11,3,23.7,46.0,0
Dorval,12,3,23.7,46.0,0
Magog,13,3,23.7,46.0,1
Berthierville,14,3,23.7,46.0,1
Ahuntsic,0,0,26.9,28.2,0
VanHorne,1,0,26.9,28.2,0
Verdun,2,0,26.9,28.2,0
Lasalle,3,0,26.9,28.2,0
Préfontaine,4,0,26.9,28.2,0
Boucherville,5,0,26.9,28.2,0
Taz,6,0,26.9,28.2,1
Spin,7,0,26.9,28.2,1
Saint Jérome,8,0,26.9,28.2,0
Saint Sauveur,9,0,26.9,28.2,0
Assomption,10,0,26.9,28.2,0
Benny,11,0,26.9,28.2,0
Dorval,12,0,26.9,28.2,0
Magog,13,0,26.9,28.2,0
Berthierville,14,0,26.9,28.2,0
Ahuntsic,0,1,21.7,32.3,0
VanHorne,1,1,21.7,32.3,0
Verdun,2,1,21.7,32.3,0
Lasalle,3,1,21.7,32.3,0
Préfontaine,4,1,21.7,32.3,1
Boucherville,5,1,21.7,32.3,1
Taz,6,1,21.7,32.3,0
Spin,7,1,21.7,32.3,0
Saint Jérome,8,1,21.7,32.3,0
Saint Sauveur,9,1,21.7,32.3,0
Assomption,10,1,21.7,32.3,0
Benny,11,1,21.7,32.3,0
Dorval,12,1,21.7,32.3,0
Magog,13,1,21.7,32.3,0
Berthierville,14,1,21.7,32.3,0
Ahuntsic,0,2,19.8,26.9,1
VanHorne,1,2,19.8,26.9,0
Verdun,2,2,19.8,26.9,0
Lasalle,3,2,19.8,26.9,1
Préfontaine,4,2,19.8,26.9,1
Boucherville,5,2,19.8,26.9,1
Taz,6,2,19.8,26.9,0
Spin,7,2,19.8,26.9,0
Saint Jérome,8,2,19.8,26.9,1
Saint Sauveur,9,2,19.8,26.9,0
Assomption,10,2,19.8,26.9,1
Benny,11,2,19.8,26.9,1
Dorval,12,2,19.8,26.9,1
Magog,13,2,19.8,26.9,0
Berthierville,14,2,19.8,26.9,0
Ahuntsic,0,1,16.5,48.8,0
VanHorne,1,1,16.5,48.8,1
Verdun,2,1,16.5,48.8,0
Lasalle,3,1,16.5,48.8,0
Préfontaine,4,1,16.5,48.8,1
Boucherville,5,1,16.5,48.8,1
Taz,6,1,16.5,48.8,1
Spin,7,1,16.5,48.8,1
Saint Jérome,8,1,16.5,48.8,0
Saint Sauveur,9,1,16.5,48.8,0
Assomption,10,1,16.5,48.8,0
Benny,11,1,16.5,48.8,0
Dorval,12,1,16.5,48.8,0
Magog,13,1,16.5,48.8,0
Berthierville,14,1,16.5,48.8,0
Ahuntsic,0,1,25.7,20.0,0
VanHorne,1,1,25.7,20.0,0
Verdun,2,1,25.7,20.0,0
Lasalle,3,1,25.7,20.0,0
Préfontaine,4,1,25.7,20.0,1
Boucherville,5,1,25.7,20.0,1
Taz,6,1,25.7,20.0,1
Spin,7,1,25.7,20.0,1
Saint Jérome,8,1,25.7,20.0,0
Saint Sauveur,9,1,25.7,20.0,0
Assomption,10,1,25.7,20.0,0
Benny,11,1,25.7,20.0,0
Dorval,12,1,25.7,20.0,0
Magog,13,1,25.7,20.0,0
Berthierville,14,1,25.7,20.0,0
Ahuntsic,0,1,26.9,21.7,0
VanHorne,1,1,26.9,21.7,1
Verdun,2,1,26.9,21.7,0
Lasalle,3,1,26.9,21.7,0
Préfontaine,4,1,26.9,21.7,1
Boucherville,5,1,26.9,21.7,1
Taz,6,1,26.9,21.7,1
Spin,7,1,26.9,21.7,1
Saint Jérome,8,1,26.9,21.7,0
Saint Sauveur,9,1,26.9,21.7,0
Assomption,10,1,26.9,21.7,0
Benny,11,1,26.9,21.7,0
Dorval,12,1,26.9,21.7,0
Magog,13,1,26.9,21.7,0
Berthierville,14,1,26.9,21.7,0
Ahuntsic,0,2,16.0,41.9,1
VanHorne,1,2,16.0,41.9,0
Verdun,2,2,16.0,41.9,0
Lasalle,3,2,16.0,41.9,1
Préfontaine,4,2,16.0,41.9,0
Boucherville,5,2,16.0,41.9,0
Taz,6,2,16.0,41.9,0
Spin,7,2,16.0,41.9,0
Saint Jérome,8,2,16.0,41.9,1
Saint Sauveur,9,2,16.0,41.9,0
Assomption,10,2,16.0,41.9,1
Benny,11,2,16.0,41.9,0
Dorval,12,2,16.0,41.9,1
Magog,13,2,16.0,41.9,0
Berthierville,14,2,16.0,41.9,0
Ahuntsic,0,1,19.7,19.5,0
VanHorne,1,1,19.7,19.5,0
Verdun,2,1,19.7,19.5,0
Lasalle,3,1,19.7,19.5,0
Préfontaine,4,1,19.7,19.5,1
Boucherville,5,1,19.7,19.5,1
Taz,6,1,19.7,19.5,1
Spin,7,1,19.7,19.5,1
Saint Jérome,8,1,19.7,19.5,0
Saint Sauveur,9,1,19.7,19.5,0
Assomption,10,1,19.7,19.5,0
Benny,11,1,19.7,19.5,0
Dorval,12,1,19.7,19.5,0
Magog,13,1,19.7,19.5,0
Berthierville,14,1,19.7,19.5,0
Ahuntsic,0,0,22.8,33.3,0
VanHorne,1,0,22.8,33.3,0
Verdun,2,0,22.8,33.3,0
Lasalle,3,0,22.8,33.3,0
Préfontaine,4,0,22.8,33.3,0
Boucherville,5,0,22.8,33.3,0
Taz,6,0,22.8,33.3,1
Spin,7,0,22.8,33.3,1
Saint Jérome,8,0,22.8,33.3,0
Saint Sauveur,9,0,22.8,33.3,0
Assomption,10,0,22.8,33.3,0
Benny,11,0,22.8,33.3,0
Dorval,12,0,22.8,33.3,0
Magog,13,0,22.8,33.3,0
Berthierville,14,0,22.8,33.3,0
Ahuntsic,0,1,21.1,20.0,0
VanHorne,1,1,21.1,20.0,1
Verdun,2,1,21.1,20.0,0
Lasalle,3,1,21.1,20.0,0
Préfontaine,4,1,21.1,20.0,1
Boucherville,5,1,21.1,20.0,1
Taz,6,1,21.1,20.0,1
Spin,7,1,21.1,20.0,1
Saint Jérome,8,1,21.1,20.0,0
Saint Sauveur,9,1,21.1,20.0,0
Assomption,10,1,21.1,20.0,0
Benny,11,1,21.1,20.0,0
Dorval,12,1,21.1,20.0,0
Magog,13,1,21.1,20.0,0
Berthierville,14,1,21.1,20.0,0
Ahuntsic,0,0,24.8,29.4,0
VanHorne,1,0,24.8,29.4,0
Verdun,2,0,24.8,29.4,0
Lasalle,3,0,24.8,29.4,0
Préfontaine,4,0,24.8,29.4,0
Boucherville,5,0,24.8,29.4,0
Taz,6,0,24.8,29.4,1
Spin,7,0,24.8,29.4,1
Saint Jérome,8,0,24.8,29.4,0
Saint Sauveur,9,0,24.8,29.4,0
Assomption,10,0,24.8,29.4,0
Benny,11,0,24.8,29.4,0
Dorval,12,0,24.8,29.4,0
Magog,13,0,24.8,29.4,0
Berthierville,14,0,24.8,29.4,0
Ahuntsic,0,2,26.5,18.0,1
VanHorne,1,2,26.5,18.0,1
Verdun,2,2,26.5,18.0,0
Lasalle,3,2,26.5,18.0,1
Préfontaine,4,2,26.5,18.0,1
Boucherville,5,2,26.5,18.0,1
Taz,6,2,26.5,18.0,0
Spin,7,2,26.5,18.0,0
Saint Jérome,8,2,26.5,18.0,1
Saint Sauveur,9,2,26.5,18.0,0
Assomption,10,2,26.5,18.0,1
Benny,11,2,26.5,18.0,1
Dorval,12,2,26.5,18.0,1
Magog,13,2,26.5,18.0,0
Berthierville,14,2,26.5,18.0,0
Ahuntsic,0,0,21.0,5.0,0
VanHorne,1,0,21.0,5.0,0
Verdun,2,0,21.0,5.0,0
Lasalle,3,0,21.0,5.0,0
Préfontaine,4,0,21.0,5.0,0
Boucherville,5,0,21.0,5.0,0
Taz,6,0,21.0,5.0,1
Spin,7,0,21.0,5.0,1
Saint Jérome,8,0,21.0,5.0,0
Saint Sauveur,9,0,21.0,5.0,0
Assomption,10,0,21.0,5.0,0
Benny,11,0,21.0,5.0,0
Dorval,12,0,21.0,5.0,0
Magog,13,0,21.0,5.0,0
Berthierville,14,0,21.0,5.0,0
Ahuntsic,0,3,24.5,21.5,0
VanHorne,1,3,24.5,21.5,0
Verdun,2,3,24.5,21.5,0
Lasalle,3,3,24.5,21.5,0
Préfontaine,4,3,24.5,21.5,0
Boucherville,5,3,24.5,21.5,0
Taz,6,3,24.5,21.5,0
Spin,7,3,24.5,21.5,0
Saint Jérome,8,3,24.5,21.5,1
Saint Sauveur,9,3,24.5,21.5,1
Assomption,10,3,24.5,21.5,1
Benny,11,3,24.5,21.5,0
Dorval,12,3,24.5,21.5,0
Magog,13,3,24.5,21.5,1
Berthierville,14,3,24.5,21.5,1
Ahuntsic,0,0,32.70109424366821,38.506415002767284,0
Ahuntsic,0,0,30.3454844490536,34.67491813874312,0
Ahuntsic,0,0,28.783460434133712,41.275179064089656,0
Ahuntsic,0,0,30.51370492033892,36.6649469293034,0
Ahuntsic,0,0,25.96304804509947,39.08207726518794,0
Ahuntsic,0,0,35.32631973531523,36.43381662080835,0
Ahuntsic,0,0,32.95921495695205,34.14197925590344,0
Ahuntsic,0,0,30.767300497488186,27.844852939639125,0
Ahuntsic,0,0,30.636130672961684,29.652035754412267,0
Ahuntsic,0,0,34.07645739995774,29.098530480053164,0
Ahuntsic,0,0,32.56811715604919,27.468352321571654,0
Ahuntsic,0,0,34.65616951978758,25.572282735286713,0
Ahuntsic,0,0,28.020695665102764,25.05540847620881,0
Ahuntsic,0,0,32.84869174746762,37.06553168269231,0
Ahuntsic,0,0,30.91845852925074,38.218584081299085,0
Ahuntsic,0,0,30.553504072241445,32.65116091727039,0
Ahuntsic,0,0,34.17547322212158,28.426842799774644,0
Ahuntsic,0,0,30.247170289469654,31.66783040330219,0
Ahuntsic,0,0,31.275345135224253,28.993623098796437,0
VanHorne,1,0,30.149766877060184,24.483682158083234,0
VanHorne,1,0,28.540494749278295,27.804704653038357,0
VanHorne,1,0,28.853478136581483,29.412795719595465,0
Verdun,2,0,27.60691148719718,36.786519879626624,0
Verdun,2,0,27.07348759010331,29.44249049859226,0
Verdun,2,0,26.157258961056147,33.89915958821078,0
Verdun,2,0,29.994788747377214,37.78570033393953,0
Verdun,2,0,32.0051487652934,37.19864372353051,0
Verdun,2,0,35.03651627943414,27.965672343016315,0
Verdun,2,0,32.86622538387764,26.046327292544433,0
Verdun,2,0,26.19156752496194,27.769429070888012,0
Verdun,2,0,28.665903459958695,35.855750559055835,0
Verdun,2,0,27.173140899877342,30.42426954254603,0
Verdun,2,0,32.76448958820105,29.83210074671444,0
Lasalle,3,0,31.730330264959086,36.24887408676338,0
Lasalle,3,0,31.165392385280914,25.88280320264641,0
Lasalle,3,0,33.33745181110312,22.373807750489068,0
Lasalle,3,0,25.849613692371136,28.17415401384043,0
Lasalle,3,0,30.812384881265714,23.276372488027732,0
Lasalle,3,0,28.096542284197426,27.902720219415478,0
Lasalle,3,0,30.274546062258334,22.16642509847056,0
Lasalle,3,0,35.26557349307424,25.811232596137813,0
Lasalle,3,0,34.87553861100078,36.22549194124238,0
Lasalle,3,0,34.02510176214321,35.33047001181118,0
Lasalle,3,0,28.374031275191978,22.1352339395269,0
Lasalle,3,0,31.99370220329212,27.37161274969342,0
Lasalle,3,0,32.56339608085616,33.15478706124789,0
Lasalle,3,0,29.46224859705996,31.107280261713385,0
Lasalle,3,0,26.986548336223557,27.117070757404313,0
Lasalle,3,0,27.40758681070832,25.162069815872155,0
Lasalle,3,0,34.09837288486453,30.34959299454773,0
Lasalle,3,0,35.12254311312617,35.93350585614737,0
Préfontaine,4,0,33.67008292609467,30.097974475152952,0
Préfontaine,4,0,34.12462655313308,32.685500036923145,0
Préfontaine,4,0,29.30071625351388,25.07964356974884,0
Préfontaine,4,0,32.77619902972465,37.305672849608925,0
Préfontaine,4,0,28.566880998625216,30.731287026760324,0
Préfontaine,4,0,30.01566155679302,39.71224523053279,0
Préfontaine,4,0,31.638803096390674,31.16635323718488,0
Préfontaine,4,0,29.035230685004972,23.29474015022169,0
Préfontaine,4,0,30.12957727488496,35.898379703383384,0
Préfontaine,4,0,35.121118864447084,35.421333847536985,0
Boucherville,5,0,34.98945129418788,23.720124026214613,0
Boucherville,5,0,29.486499780240976,25.412847931483793,0
Boucherville,5,0,33.27736188836379,22.105572817162546,0
Boucherville,5,0,32.74201079386086,25.97174693362187,0
Boucherville,5,0,31.47718366133406,39.07456497171621,0
Boucherville,5,0,34.430564174848605,39.70690550213284,0
Boucherville,5,0,30.99461626375273,30.87806576713877,0
Boucherville,5,0,27.48961680627785,24.32055068464167,0
Boucherville,5,0,26.14520280195903,23.15564307613805,0
Boucherville,5,0,33.99613140541399,36.427905274743054,0
Boucherville,5,0,27.400996283050446,25.829804379615315,0
Boucherville,5,0,32.717921649699456,24.81978777505184,0
Boucherville,5,0,30.66145423532134,35.73527006613875,0
Boucherville,5,0,34.20522622670344,40.61464695190009,0
Boucherville,5,0,33.670014186776726,24.542654692504392,0
Boucherville,5,0,27.792243350130416,21.81411419584584,0
Boucherville,5,0,29.884369439498208,36.584232977591114,0
Boucherville,5,0,34.50642316063701,33.5065072013364,0
Boucherville,5,0,27.890344588564517,23.899686046716845,0
Boucherville,5,0,26.140949034607626,37.45242884385891,0
Boucherville,5,0,34.037049314659114,36.96624572251781,0
Boucherville,5,0,26.623818916535928,26.89503065885564,0
Boucherville,5,0,29.794564054355554,22.97877513405583,0
Boucherville,5,0,28.855846360713194,25.336598222077512,0
Boucherville,5,0,30.642704041045725,35.155850468818855,0
Boucherville,5,0,26.83787803853511,36.439397222367376,0
Boucherville,5,0,26.199854481845826,41.21149853528449,0
Boucherville,5,0,32.24497158278319,40.536293773120896,0
Boucherville,5,0,30.562487203146702,27.919167517121096,0
Boucherville,5,0,28.69533515555438,31.870197908912104,0
Boucherville,5,0,30.423932204691027,39.98167686097229,0
Boucherville,5,0,30.76557716571263,34.93951065339189,0
Boucherville,5,0,34.400041398371265,28.174434432215108,0
Boucherville,5,0,25.613430015711522,27.970553961661604,0
Boucherville,5,0,34.95023989457968,32.73424064547297,0
Boucherville,5,0,34.73269713346761,25.952607582340992,0
Boucherville,5,0,30.15164363584479,22.25168495073293,0
Boucherville,5,0,31.836354019194964,21.70503553177475,0
Boucherville,5,0,29.325995890415225,28.497167143685907,0
Boucherville,5,0,31.581525702692993,27.58793910786878,0
Boucherville,5,0,27.340214456952914,23.03502253762622,0
Boucherville,5,0,25.71640452868212,25.442753512676628,0
Boucherville,5,0,28.535563254441506,40.46942407518371,0
Boucherville,5,0,27.62429902546476,29.26376751519923,0
Boucherville,5,0,25.692593017550895,22.897620906066372,0
Boucherville,5,0,29.203052834370656,27.89674637869905,0
Boucherville,5,0,34.47068655340818,41.36256128760658,0
Taz,6,0,25.841336054814157,33.62098164238896,1
Taz,6,0,32.9070434120237,33.484502134108006,1
Taz,6,0,31.840605287161893,31.425655910448896,1
Taz,6,0,29.155406518460737,32.98684363078807,1
Taz,6,0,34.29010702250992,21.461904701518694,1
Taz,6,0,35.49140978759641,27.453272517210436,1
Taz,6,0,33.49987623583537,39.28490708056461,1
Taz,6,0,33.92667582442872,34.8987602328954,1
Taz,6,0,26.001913347021933,30.631626977684064,1
Taz,6,0,26.9271236373892,36.23517597717,1
Taz,6,0,30.740550981336135,34.35935337566319,1
Taz,6,0,27.310321758059928,31.815250328262028,1
Taz,6,0,33.06995358714145,39.31557828034576,1
Taz,6,0,31.848895732393068,35.706728823855926,1
Taz,6,0,28.101004400677176,31.717302124259138,1
Taz,6,0,28.980686945075288,27.947894190498396,1
Taz,6,0,28.955551786183246,28.84498549891204,1
Taz,6,0,28.969045088127565,36.39339272279862,1
Taz,6,0,31.131365647365804,40.46619050587705,1
Taz,6,0,27.337516983772122,22.628184847585878,1
Taz,6,0,28.523583300219613,23.41202456665026,1
Taz,6,0,31.05135161182761,27.60598550767942,1
Taz,6,0,30.69904309674215,39.724770801095815,1
Taz,6,0,30.61999409995157,31.2334320294737,1
Taz,6,0,33.20718897862063,21.96930150471384,1
Spin,7,0,34.020285009321086,25.030324459913945,1
Spin,7,0,29.37259508083202,33.22832645614861,1
Spin,7,0,27.444714352819968,30.496025112014458,1
Spin,7,0,27.702644575025296,38.96451811657439,1
Spin,7,0,29.893518938729176,29.23906183193262,1
Spin,7,0,35.442689913862935,39.86775044504401,1
Spin,7,0,35.190361706531874,30.502632735010685,1
Spin,7,0,26.723088247860936,28.477636239880734,1
Spin,7,0,26.32879378296687,40.66000997672269,1
Spin,7,0,25.52958287956425,39.882459040006744,1
Spin,7,0,31.814949864332956,36.682010033077034,1
Spin,7,0,27.655893166417492,29.481029907004515,1
Spin,7,0,30.661471905495695,26.219783410162762,1
Spin,7,0,30.19375733085996,24.629683133663242,1
Spin,7,0,31.677148134015887,23.03188212734523,1
Spin,7,0,28.339977331852037,30.115939755189437,1
Spin,7,0,34.69839744306573,39.02751165347041,1
Spin,7,0,29.24610646370362,29.844919791511686,1
Spin,7,0,32.247336089080676,29.515380073606604,1
Spin,7,0,31.708994037504645,40.445110543499055,1
Spin,7,0,26.98039006792911,25.81516323629656,1
Spin,7,0,29.116782179521092,22.867236530508826,1
Spin,7,0,35.24682428793331,35.6039544309769,1
Spin,7,0,27.220067609812435,38.78816046473416,1
Spin,7,0,28.395538163836214,36.98884082479818,1
Saint Jérome,8,0,26.630260939346105,31.963810137380477,0
Saint Jérome,8,0,35.22088634341685,29.4985086893712,0
Saint Jérome,8,0,26.982220060702325,27.824479480321187,0
Saint Jérome,8,0,33.284552928635236,39.38573045326129,0
Saint Jérome,8,0,30.30881387053505,24.691484993934196,0
Saint Jérome,8,0,35.14209133348753,40.191341340528574,0
Saint Jérome,8,0,27.335227109026793,36.1250843249387,0
Saint Jérome,8,0,26.825923324866885,25.310082499867573,0
Saint Jérome,8,0,25.68278371794702,35.034387955033324,0
Saint Jérome,8,0,28.8866521961096,34.02664255254725,0
Saint Jérome,8,0,28.670016984936613,23.66498253378702,0
Saint Jérome,8,0,25.751829152348172,38.80994438752934,0
Saint Jérome,8,0,33.70014561619258,34.04025809906364,0
Saint Jérome,8,0,33.4384002600592,24.27190855967862,0
Saint Jérome,8,0,32.75952038268267,21.50569182986991,0
Saint Jérome,8,0,32.28444984365081,22.186906245364163,0
Saint Jérome,8,0,28.700772680195044,36.06226440467249,0
Saint Jérome,8,0,32.81869837968111,36.03247996847081,0
Saint Jérome,8,0,32.76124481703753,37.38483507466218,0
Saint Jérome,8,0,32.05542618671696,32.83791927802294,0
Saint Jérome,8,0,31.392241042685995,32.21873230584707,0
Saint Jérome,8,0,35.38689018602289,27.174925094058516,0
Saint Jérome,8,0,25.604537357812113,32.92037290431096,0
Saint Jérome,8,0,32.899717613786926,27.954589279247134,0
Saint Jérome,8,0,27.41692629027762,31.364446367211542,0
Saint Jérome,8,0,31.238777442642192,23.631834338563532,0
Saint Jérome,8,0,26.751441780558192,24.8507728303532,0
Saint Jérome,8,0,32.448394424152646,37.16608785896246,0
Saint Jérome,8,0,26.754945906137827,24.56363798641617,0
Saint Jérome,8,0,29.135205274917926,22.99409141426904,0
Saint Jérome,8,0,35.48191992897951,36.67020969936827,0
Saint Jérome,8,0,29.952285367822604,25.687850977422112,0
Saint Jérome,8,0,32.060446990887286,35.683691913666244,0
Saint Jérome,8,0,25.54632834981264,26.204330323600125,0
Saint Jérome,8,0,33.484731823760036,40.30846688539138,0
Saint Jérome,8,0,27.432857780666353,23.29724833847524,0
Saint Jérome,8,0,29.347816895929256,24.966569127101288,0
Saint Jérome,8,0,28.787314252136138,31.73282577189613,0
Saint Jérome,8,0,34.70748380577264,36.85988295198736,0
Saint Jérome,8,0,28.023628339495826,28.89079180332097,0
Saint Jérome,8,0,28.303550942827606,25.06582113255301,0
Saint Jérome,8,0,27.098403763963983,32.35628018870035,0
Saint Jérome,8,0,29.332745303347977,34.383086317747235,0
Saint Jérome,8,0,31.54966876322652,39.332260245421494,0
Saint Jérome,8,0,34.9385441867279,31.64248668453593,0
Saint Jérome,8,0,33.74311295226987,27.044617939060817,0
Saint Jérome,8,0,26.191608152085898,30.907346054738532,0
Saint Jérome,8,0,27.744549084687137,37.32265554135541,0
Saint Jérome,8,0,30.4820978646664,33.052122975111345,0
Saint Jérome,8,0,34.80258533555777,34.90292462499745,0
Saint Sauveur,9,0,32.9508440858971,31.82055018679357,0
Saint Sauveur,9,0,25.555115724128896,39.6670863792329,0
Saint Sauveur,9,0,26.297260458375728,26.84615574285001,0
Saint Sauveur,9,0,29.85119194533745,26.33758807910688,0
Saint Sauveur,9,0,32.25036835720612,41.26558297298164,0
Saint Sauveur,9,0,31.807849143316055,31.98537369204945,0
Saint Sauveur,9,0,31.75726397774609,23.300510444537643,0
Saint Sauveur,9,0,27.074857946402958,35.3760735236887,0
Saint Sauveur,9,0,31.431274904618896,39.353688466103335,0
Saint Sauveur,9,0,31.53973175487176,38.679676419572104,0
Saint Sauveur,9,0,35.416684623522166,35.184861090273884,0
Saint Sauveur,9,0,27.586750305453975,26.351539169557803,0
Saint Sauveur,9,0,32.21710150338332,27.6247099734155,0
Saint Sauveur,9,0,31.011239101962474,36.21872000636613,0
Saint Sauveur,9,0,28.932072519845043,21.925741190329713,0
Saint Sauveur,9,0,28.529427507440086,27.659366538395005,0
Saint Sauveur,9,0,25.779558601654422,41.39459497151617,0
Saint Sauveur,9,0,30.957599857634527,22.154448718213516,0
Saint Sauveur,9,0,27.73547781890079,34.68644963964407,0
Saint Sauveur,9,0,27.111074917864237,35.000534624488594,0
Saint Sauveur,9,0,33.48782548033907,35.72989508628933,0
Saint Sauveur,9,0,29.791811917160807,33.47377794118671,0
Saint Sauveur,9,0,31.225020091916186,33.4749360011641,0
Saint Sauveur,9,0,27.171212788571882,38.05008786444324,0
Saint Sauveur,9,0,28.556897886435575,34.653632086623205,0
Saint Sauveur,9,0,30.400461886960382,28.061322531811843,0
Saint Sauveur,9,0,27.876730827766572,27.923621471234327,0
Saint Sauveur,9,0,32.737007123150626,34.68776902737043,0
Saint Sauveur,9,0,31.83325875662761,21.596029069142066,0
Saint Sauveur,9,0,31.948705313657644,29.436455254452326,0
Saint Sauveur,9,0,29.24500868080758,39.08262496925491,0
Saint Sauveur,9,0,34.19503159484751,33.227107748964244,0
Saint Sauveur,9,0,31.889634162227942,21.54931468615124,0
Saint Sauveur,9,0,28.267351046886503,26.478933637600388,0
Saint Sauveur,9,0,34.49047068179692,34.74658378734588,0
Saint Sauveur,9,0,29.076226347189994,25.629967479355418,0
Saint Sauveur,9,0,33.00850251908712,34.71086687948822,0
Saint Sauveur,9,0,35.3641158464241,33.642719323425155,0
Saint Sauveur,9,0,29.298705507546014,29.198266361390242,0
Saint Sauveur,9,0,28.886355441092597,31.33736000921366,0
Assomption,10,0,27.447627067830986,39.09723335982605,0
Assomption,10,0,25.69015923863776,29.65296444738565,0
Assomption,10,0,29.290537853655213,23.106493946414425,0
Assomption,10,0,32.13010631538624,28.64138915936296,0
Benny,11,0,34.49994556487604,31.006842444151264,0
Benny,11,0,31.694341316427803,37.27328701102273,0
Benny,11,0,29.75760135623986,22.286492582590554,0
Benny,11,0,32.61034853746536,40.152265851238006,0
Benny,11,0,29.184183592528363,23.547215260752054,0
Benny,11,0,25.732985232985268,32.14234424644203,0
Benny,11,0,30.368429761728795,23.21936751927085,0
Benny,11,0,34.346647606189734,38.84481131883827,0
Benny,11,0,34.72053128375482,29.49167499151639,0
Benny,11,0,35.17794560235221,33.320210216689595,0
Benny,11,0,34.01763472469975,38.95708514053632,0
Benny,11,0,26.620622052926915,33.58953964421512,0
Benny,11,0,27.52165741439007,39.21372436437446,0
Benny,11,0,29.74206135479572,24.941956928809255,0
Benny,11,0,29.097065825556975,28.98918972201438,0
Benny,11,0,27.86281961036554,41.33494051148953,0
Benny,11,0,29.37406479918451,27.023823782751162,0
Benny,11,0,28.456933472387504,40.74725276777083,0
Benny,11,0,28.39445136700206,35.26804526575212,0
Benny,11,0,27.499971955573482,40.718541055988624,0
Benny,11,0,26.885093888170505,22.846442830410588,0
Benny,11,0,33.91656948079729,28.91662317953411,0
Benny,11,0,32.56095136646025,28.042860336083557,0
Benny,11,0,30.930141075747592,24.292164323086595,0
Benny,11,0,25.96722578529775,29.177553253468865,0
Benny,11,0,28.802592735912604,24.29880407207284,0
Benny,11,0,31.119097948747385,35.7797390579498,0
Benny,11,0,33.46206133568904,30.92908954396733,0
Benny,11,0,35.4712616431343,37.63402052768703,0
Benny,11,0,25.56102342621921,38.79398337229472,0
